,word,counts
0,two,21641
1,young,13218
2,guys,658
3,with,36207
4,shaggy,51
5,hair,2221
6,look,1328
7,at,16261
8,their,4037
9,hands,1556
10,while,11711
11,hanging,662
12,out,3432
13,in,83466
14,the,62978
15,yard,394
16,.,151063
17,",",25336
18,white,13178
19,males,248
20,are,20196
21,outside,4701
22,near,3016
23,many,1290
24,bushes,95
25,men,9499
26,green,5221
27,shirts,942
28,standing,9113
29,a,271704
30,man,42598
31,blue,11310
32,shirt,12981
33,garden,247
34,friends,398
35,enjoy,204
36,time,314
37,spent,2
38,together,1783
39,several,2105
40,hard,645
41,hats,836
42,operating,107
43,giant,204
44,pulley,18
45,system,35
46,workers,1104
47,down,7678
48,from,4041
49,up,5114
50,above,678
51,on,45669
52,piece,723
53,of,38776
54,equipment,471
55,working,2175
56,machine,521
57,wearing,15709
58,four,2211
59,top,2415
60,tall,495
61,structure,370
62,three,5770
63,large,4753
64,rig,12
65,child,5078
66,pink,2861
67,dress,2130
68,is,41116
69,climbing,983
70,set,596
71,stairs,503
72,an,15882
73,entry,10
74,way,276
75,little,4794
76,girl,9656
77,going,612
78,into,3731
79,wooden,1066
80,cabin,21
81,to,17607
82,her,7414
83,playhouse,19
84,building,3360
85,someone,814
86,and,44263
87,hat,4037
88,stair,31
89,leaning,591
90,against,1053
91,window,1037
92,ladder,328
93,cleaning,399
94,cleans,77
95,jeans,1918
96,windows,195
97,one,6485
98,gray,2086
99,black,12311
100,stove,97
101,guy,1474
102,cooking,467
103,joking,8
104,around,3134
105,camera,2411
106,kitchen,772
107,food,1755
108,preparing,566
109,meal,283
110,people,17337
111,photo,594
112,playing,8620
113,guitar,1994
114,other,3986
115,poking,20
116,him,2022
117,holds,1777
118,observes,66
119,his,11495
120,fixing,216
121,players,1114
122,costume,551
123,stitching,4
124,another,3372
125,'s,2290
126,coat,1311
127,boys,1975
128,sits,2612
129,chair,1028
130,holding,6985
131,stuffed,185
132,animal,285
133,lion,41
134,sitting,9620
135,completes,15
136,finishing,41
137,touches,65
138,toy,1084
139,smiling,1953
140,rollerskates,59
141,talking,2072
142,cellphone,779
143,parking,325
144,lot,577
145,trendy,11
146,gliding,28
147,slowly,18
148,street,7998
149,adult,496
150,rollerblades,76
151,cellular,17
152,phone,608
153,ear,138
154,there,1642
155,skating,225
156,woman,22211
157,asian,2373
158,suit,1317
159,stands,2935
160,dark-haired,288
161,brown-haired,133
162,pipes,37
163,metal,652
164,railing,329
165,walks,1988
166,past,959
167,dressed,3461
168,hip,31
169,outfits,285
170,purse,301
171,walking,7339
172,by,5771
173,gate,142
174,germany,6
175,jumping,2735
176,over,3684
177,rail,279
178,same,297
179,without,141
180,youths,41
181,roadside,32
182,night,690
183,dancing,1013
184,poles,149
185,middle,977
186,no,377
187,five,858
188,ballet,97
189,dancers,210
190,caught,126
191,mid,65
192,jump,768
193,studio,96
194,sunlight,63
195,coming,252
196,through,4297
197,practice,124
198,wonderful,10
199,form,78
200,girls,2679
201,leaping,230
202,simultaneously,24
203,dance,598
204,room,1301
205,bending,138
206,feet,336
207,class,250
208,sequence,2
209,sneakers,113
210,midair,474
211,flight,121
212,concrete,489
213,casually,65
214,stairway,55
215,outdoors,766
216,stone,664
217,wall,2324
218,behind,2832
219,them,1746
220,not,211
221,staircase,141
222,excited,92
223,faces,259
224,dog,9089
225,brown,4446
226,spots,36
227,staring,320
228,each,1473
229,tri-colored,14
230,road,1770
231,dogs,2354
232,different,327
233,breeds,5
234,looking,5067
235,pavement,162
236,moving,203
237,toward,456
238,spotted,58
239,fighting,263
240,reflective,109
241,safety,389
242,clothes,749
243,protection,36
244,drives,156
245,john,29
246,deere,16
247,tractor,142
248,tractors,3
249,cruises,3
250,driver,136
251,wears,279
252,easy,7
253,see,179
254,clothing,1002
255,neon,123
256,orange,3086
257,uniform,1158
258,driving,402
259,headphones,237
260,paved,158
261,main,40
262,country,230
263,some,3547
264,women,5275
265,front,7604
266,bus,732
267,buildings,429
268,it,2113
269,stand,2336
270,city,2325
271,group,7851
272,wait,264
273,dark,1390
274,glasses,1616
275,putting,462
276,powder,20
277,cake,254
278,using,1160
279,sifter,3
280,lady,2045
281,sprinkling,6
282,powdered,5
283,sugar,5
284,bundt,2
285,sprinkles,6
286,onto,624
287,jacket,3348
288,sifting,8
289,chocolate,64
290,pan,101
291,small,3779
292,grass,2597
293,plays,1907
294,fingerpaints,3
295,canvas,61
296,rainbow,97
297,covered,895
298,paint,321
299,painted,408
300,bowl,286
301,pigtails,65
302,painting,677
303,sleeping,641
304,bench,1753
305,next,3752
306,lays,197
307,which,552
308,also,178
309,tied,100
310,laying,771
311,leash,208
312,ground,1431
313,shirtless,557
314,lies,139
315,park,2041
