,word,counts
0,a,271148
1,man,42521
2,playing,8551
3,djembe,1
4,in,83338
5,crowd,2958
6,of,38737
7,people,17289
8,.,150578
9,woman,22176
10,is,41023
11,exposing,9
12,her,7410
13,belly,68
14,while,11710
15,holding,6984
16,beer,388
17,standing,9106
18,with,36196
19,both,602
20,arms,767
21,the,62812
22,air,2365
23,and,44245
24,one,6484
25,leg,260
26,raised,155
27,ocean,1039
28,young,13209
29,skateboards,101
30,at,16243
31,night,690
32,by,5770
33,fence,885
34,girl,9642
35,takes,626
36,break,240
37,from,4041
38,crafts,71
39,to,17598
40,tend,19
41,medical,98
42,needs,14
43,an,15872
44,inhaler,1
45,glasses,1616
46,swings,245
47,on,45595
48,child,5074
49,'s,2289
50,play,1871
51,set,596
52,sun,422
53,behind,2832
54,park,2039
55,wearing,15704
56,kilt,70
57,has,2198
58,thrown,136
59,large,4746
60,pole,603
61,closeup,136
62,football,1235
63,player,2267
64,",",25331
65,25,12
66,crossing,420
67,river,735
68,narrow,117
69,wooden,1066
70,bridge,607
71,side,1697
72,other,3983
73,sunset,260
74,walks,1987
75,away,626
76,bright,783
77,yellow,4555
78,red,9912
79,blue,11307
80,bounce,39
81,house,627
82,riding,3299
83,bus,729
84,person,4469
85,their,4037
86,arm,617
87,around,3131
88,another,3369
89,boy,9419
90,making,940
91,"""",1726
92,oh,8
93,!,96
94,face,1649
95,front,7603
96,bay,44
97,traditional,231
98,white,13163
99,karate,231
100,uniform,1158
101,demonstrates,27
102,skill,12
103,guy,1472
104,sideways,46
105,his,11494
106,motorcycle,792
107,dog,8985
108,snow,2489
109,carries,370
110,plastic,495
111,mountain,1048
112,dew,6
113,bottle,362
114,its,1136
115,mouth,1326
116,colorful,946
117,suit,1316
118,pink,2861
119,hat,4036
120,toboggan,10
121,pose,579
122,for,4893
123,camera,2409
124,group,7826
125,running,3327
126,marathon,244
127,it,2113
128,raining,22
129,black,12282
130,chief,10
131,food,1755
132,hotel,78
133,new,308
134,mother,375
135,holds,1776
136,newborn,101
137,baby,1667
138,hospital,120
139,tie,307
140,faces,259
141,looking,5064
142,into,3716
143,guitar,1989
144,gymnast,160
145,mid-twirl,2
146,uneven,10
147,bar,553
148,two,21553
149,landing,60
150,ground,1431
151,parachutes,19
152,shirt,12978
153,jumping,2728
154,grassy,771
155,area,1443
